pit_duration,lap_number,driver_number,date,session_key,meeting_key
1011.7,4.0,22,2024-09-14T08:55:27.489000+00:00,9593,1245
,1.0,23,2024-09-14T08:55:38.646000+00:00,9593,1245
,1.0,43,2024-09-14T08:55:45.163000+00:00,9593,1245
,1.0,27,2024-09-14T08:57:41.803000+00:00,9593,1245
,1.0,50,2024-09-14T09:00:00.446000+00:00,9593,1245
221.3,4.0,4,2024-09-14T09:00:12.575000+00:00,9593,1245
691.6,6.0,4,2024-09-14T09:08:02.912000+00:00,9593,1245
,6.0,10,2024-09-14T09:08:08.226000+00:00,9593,1245
,4.0,27,2024-09-14T09:08:14.948000+00:00,9593,1245
1472.1,8.0,3,2024-09-14T09:08:19.822000+00:00,9593,1245
1777.6,10.0,77,2024-09-14T09:08:21.643000+00:00,9593,1245
1811.6,10.0,24,2024-09-14T09:08:26.395000+00:00,9593,1245
,5.0,43,2024-09-14T09:08:33.591000+00:00,9593,1245
1801.5,8.0,22,2024-09-14T09:08:37.270000+00:00,9593,1245
,5.0,44,2024-09-14T09:08:51.715000+00:00,9593,1245
,6.0,63,2024-09-14T09:08:56.031000+00:00,9593,1245
1744.9,9.0,18,2024-09-14T09:08:59.651000+00:00,9593,1245
,5.0,23,2024-09-14T09:09:18.856000+00:00,9593,1245
,7.0,16,2024-09-14T09:09:31.273000+00:00,9593,1245
,7.0,55,2024-09-14T09:09:34.685000+00:00,9593,1245
2303.7,6.0,1,2024-09-14T09:11:22.827000+00:00,9593,1245
2356.7,6.0,11,2024-09-14T09:11:43.380000+00:00,9593,1245
,7.0,81,2024-09-14T09:12:37.413000+00:00,9593,1245
2024.6,8.0,14,2024-09-14T09:13:50.756000+00:00,9593,1245
20.6,10.0,63,2024-09-14T09:17:13.723000+00:00,9593,1245
173.0,8.0,43,2024-09-14T09:17:20.856000+00:00,9593,1245
22.6,9.0,44,2024-09-14T09:17:52.595000+00:00,9593,1245
208.5,12.0,18,2024-09-14T09:18:16.608000+00:00,9593,1245
251.1,11.0,3,2024-09-14T09:18:20.248000+00:00,9593,1245
180.3,10.0,16,2024-09-14T09:18:29.681000+00:00,9593,1245
184.7,10.0,55,2024-09-14T09:18:36.218000+00:00,9593,1245
116.3,9.0,1,2024-09-14T09:18:52.050000+00:00,9593,1245
276.6,11.0,22,2024-09-14T09:19:32.093000+00:00,9593,1245
270.3,8.0,23,2024-09-14T09:19:48.939000+00:00,9593,1245
389.9,9.0,10,2024-09-14T09:20:25.043000+00:00,9593,1245
22.4,11.0,81,2024-09-14T09:20:53.913000+00:00,9593,1245
185.6,15.0,24,2024-09-14T09:21:46.318000+00:00,9593,1245
453.2,13.0,77,2024-09-14T09:21:49.028000+00:00,9593,1245
365.9,8.0,27,2024-09-14T09:21:56.830000+00:00,9593,1245
401.2,10.0,4,2024-09-14T09:22:19.285000+00:00,9593,1245
153.5,11.0,14,2024-09-14T09:22:24.942000+00:00,9593,1245
16.7,13.0,16,2024-09-14T09:24:58.586000+00:00,9593,1245
336.8,12.0,81,2024-09-14T09:28:43.039000+00:00,9593,1245
130.5,13.0,43,2024-09-14T09:29:08.758000+00:00,9593,1245
78.7,12.0,23,2024-09-14T09:29:11.469000+00:00,9593,1245
,1.0,27,2024-09-14T12:00:03.160000+00:00,9594,1245
,1.0,24,2024-09-14T12:00:06.777000+00:00,9594,1245
,1.0,77,2024-09-14T12:00:08.321000+00:00,9594,1245
,1.0,10,2024-09-14T12:00:15.473000+00:00,9594,1245
,1.0,31,2024-09-14T12:00:18.840000+00:00,9594,1245
,1.0,3,2024-09-14T12:00:22.382000+00:00,9594,1245
,1.0,63,2024-09-14T12:00:24.030000+00:00,9594,1245
,1.0,22,2024-09-14T12:00:28.882000+00:00,9594,1245
,1.0,23,2024-09-14T12:00:32.669000+00:00,9594,1245
,1.0,44,2024-09-14T12:00:38.591000+00:00,9594,1245
,1.0,43,2024-09-14T12:00:51.574000+00:00,9594,1245
,1.0,50,2024-09-14T12:01:06.527000+00:00,9594,1245
,1.0,14,2024-09-14T12:01:15.585000+00:00,9594,1245
,1.0,1,2024-09-14T12:01:25.007000+00:00,9594,1245
,1.0,18,2024-09-14T12:01:32.370000+00:00,9594,1245
,1.0,11,2024-09-14T12:01:47.815000+00:00,9594,1245
,1.0,16,2024-09-14T12:01:54.407000+00:00,9594,1245
,1.0,55,2024-09-14T12:01:56.458000+00:00,9594,1245
,1.0,81,2024-09-14T12:02:06.647000+00:00,9594,1245
,1.0,4,2024-09-14T12:02:14.147000+00:00,9594,1245
22.3,4.0,31,2024-09-14T12:06:40.418000+00:00,9594,1245
51.4,4.0,10,2024-09-14T12:07:06.138000+00:00,9594,1245
20.8,5.0,63,2024-09-14T12:08:47.541000+00:00,9594,1245
21.8,5.0,44,2024-09-14T12:09:24.883000+00:00,9594,1245
24.5,6.0,3,2024-09-14T12:11:00.200000+00:00,9594,1245
57.9,6.0,22,2024-09-14T12:11:39.756000+00:00,9594,1245
97.4,6.0,24,2024-09-14T12:11:45.588000+00:00,9594,1245
213.9,5.0,77,2024-09-14T12:11:49.374000+00:00,9594,1245
258.2,5.0,14,2024-09-14T12:13:28.921000+00:00,9594,1245
190.5,6.0,23,2024-09-14T12:13:54.207000+00:00,9594,1245
174.9,6.0,43,2024-09-14T12:13:57.277000+00:00,9594,1245
86.5,7.0,31,2024-09-14T12:13:59.248000+00:00,9594,1245
246.4,6.0,27,2024-09-14T12:14:03.035000+00:00,9594,1245
