brake,date,driver_number,drs,meeting_key,n_gear,rpm,session_key,speed,throttle
0,2024-02-29T15:09:36.014000+00:00,11,12,1229,8,10651,9466,301,100
0,2024-02-29T15:09:40.494000+00:00,11,12,1229,8,11157,9466,316,100
100,2024-03-01T12:48:35.469000+00:00,11,8,1229,8,10865,9466,307,92
0,2024-03-01T12:47:39.909000+00:00,11,12,1229,8,11113,9466,314,100
0,2024-02-29T15:26:52.098000+00:00,11,12,1229,8,10719,9466,302,100
0,2024-03-01T13:23:04.596000+00:00,14,12,1229,8,10888,9466,305,99
0,2024-02-29T15:34:03.418000+00:00,14,12,1229,8,11193,9466,314,99
0,2024-02-29T15:05:49.893000+00:00,14,12,1229,8,10960,9466,307,99
0,2024-03-01T12:52:02.030000+00:00,14,12,1229,8,11209,9466,314,100
0,2024-02-29T15:05:50.933000+00:00,14,12,1229,8,11111,9466,311,99
0,2024-02-29T15:05:49.573000+00:00,14,12,1229,8,10931,9466,305,99
0,2024-02-29T15:34:00.619000+00:00,14,12,1229,8,10813,9466,302,99
0,2024-02-29T15:10:39.534000+00:00,14,12,1229,8,10749,9466,301,99
0,2024-03-01T13:20:03.355000+00:00,14,12,1229,8,11112,9466,311,100
0,2024-02-29T15:34:01.379000+00:00,14,12,1229,8,10972,9466,308,99
0,2024-02-29T15:29:39.018000+00:00,16,12,1229,8,10755,9466,301,99
0,2024-03-01T13:25:44.636000+00:00,16,12,1229,8,11099,9466,312,99
0,2024-02-29T15:23:46.897000+00:00,16,12,1229,7,12047,9466,302,99
0,2024-02-29T15:59:04.864000+00:00,16,12,1229,8,10926,9466,307,99
0,2024-03-01T13:07:49.193000+00:00,16,12,1229,8,10921,9466,306,99
0,2024-03-01T12:45:23.508000+00:00,16,12,1229,8,10741,9466,303,98
0,2024-03-01T12:50:59.549000+00:00,16,8,1229,8,10665,9466,306,98
0,2024-02-29T15:25:29.737000+00:00,16,12,1229,8,11121,9466,313,99
0,2024-03-01T12:50:57.270000+00:00,16,12,1229,8,11042,9466,311,99
0,2024-02-29T15:23:30.377000+00:00,16,12,1229,8,11151,9466,314,99
0,2024-03-01T13:21:53.276000+00:00,18,12,1229,8,11210,9466,315,99
0,2024-02-29T15:27:22.858000+00:00,18,12,1229,8,10958,9466,306,99
0,2024-02-29T15:27:25.418000+00:00,18,12,1229,8,11221,9466,315,99
0,2024-02-29T15:09:52.614000+00:00,18,12,1229,8,10835,9466,302,99
0,2024-03-01T12:52:05.789000+00:00,18,12,1229,8,11112,9466,310,99
0,2024-03-01T12:56:11.271000+00:00,18,12,1229,8,10813,9466,301,99
0,2024-02-29T15:06:00.614000+00:00,18,12,1229,8,11070,9466,310,99
0,2024-02-29T15:09:56.855000+00:00,18,12,1229,8,11271,9466,315,99
0,2024-02-29T15:15:44.815000+00:00,18,12,1229,8,11010,9466,310,99
0,2024-03-01T12:52:04.270000+00:00,18,12,1229,8,10765,9466,301,99
0,2024-02-29T15:24:01.217000+00:00,20,12,1229,8,11194,9466,314,100
0,2024-03-01T13:26:51.676000+00:00,20,12,1229,8,11098,9466,312,100
0,2024-02-29T15:03:41.013000+00:00,20,12,1229,8,10651,9466,301,100
0,2024-02-29T15:21:48.257000+00:00,20,12,1229,8,11186,9466,318,100
0,2024-02-29T15:09:14.974000+00:00,20,12,1229,8,11123,9466,316,100
0,2024-02-29T15:09:14.094000+00:00,20,12,1229,8,11211,9466,315,100
0,2024-02-29T15:21:48.497000+00:00,20,12,1229,8,11321,9466,318,100
0,2024-03-01T12:54:52.791000+00:00,20,12,1229,8,10854,9466,307,100
0,2024-03-01T12:46:54.309000+00:00,20,12,1229,8,10778,9466,303,100
0,2024-03-01T13:22:41.675000+00:00,20,12,1229,8,10674,9466,305,100
0,2024-03-01T12:54:43.550000+00:00,22,12,1229,8,11013,9466,310,100
0,2024-02-29T15:08:58.654000+00:00,22,12,1229,8,10882,9466,304,100
0,2024-02-29T15:03:23.053000+00:00,22,10,1229,8,10743,9466,301,100
0,2024-03-01T13:22:43.316000+00:00,22,12,1229,8,11165,9466,316,100
0,2024-03-01T13:00:59.551000+00:00,22,12,1229,8,10854,9466,305,100
0,2024-03-01T13:23:35.315000+00:00,22,10,1229,8,10872,9466,306,100
0,2024-02-29T15:09:01.134000+00:00,22,12,1229,8,11162,9466,315,100
0,2024-03-01T13:22:44.516000+00:00,22,10,1229,8,11124,9466,313,100
0,2024-02-29T15:30:32.498000+00:00,22,12,1229,8,10963,9466,309,100
0,2024-02-29T15:06:54.134000+00:00,22,12,1229,8,11119,9466,314,100
0,2024-02-29T15:17:43.055000+00:00,23,12,1229,8,10909,9466,304,100
0,2024-03-01T13:12:20.194000+00:00,23,12,1229,8,10986,9466,308,100
0,2024-03-01T13:12:20.434000+00:00,23,12,1229,8,11007,9466,309,100
0,2024-02-29T15:16:51.496000+00:00,23,12,1229,8,11232,9466,314,100
0,2024-02-29T15:22:48.057000+00:00,23,12,1229,8,11162,9466,311,100
0,2024-03-01T12:51:09.510000+00:00,23,12,1229,8,11049,9466,309,100
0,2024-02-29T15:30:36.738000+00:00,23,12,1229,8,10754,9466,301,100
0,2024-02-29T15:22:47.097000+00:00,23,12,1229,8,11054,9466,309,100
0,2024-02-29T15:30:17.658000+00:00,23,12,1229,8,10865,9466,304,100
0,2024-02-29T15:16:48.255000+00:00,23,12,1229,8,10959,9466,306,100
0,2024-02-29T15:02:14.532000+00:00,24,12,1229,8,10865,9466,307,100
0,2024-02-29T15:10:22.334000+00:00,24,12,1229,8,11049,9466,311,100
0,2024-02-29T15:06:06.253000+00:00,24,12,1229,8,10926,9466,307,100
0,2024-03-01T13:12:39.514000+00:00,24,12,1229,8,11070,9466,311,100
0,2024-03-01T13:12:39.874000+00:00,24,12,1229,8,11093,9466,313,100
0,2024-02-29T15:26:56.698000+00:00,24,12,1229,8,10742,9466,302,100
0,2024-02-29T15:26:58.458000+00:00,24,12,1229,8,10857,9466,306,100
0,2024-02-29T15:26:57.058000+00:00,24,12,1229,8,10789,9466,303,100
0,2024-03-01T12:52:34.510000+00:00,24,12,1229,8,10868,9466,306,100
0,2024-02-29T15:10:25.094000+00:00,24,12,1229,8,11238,9466,316,100
0,2024-02-29T15:07:56.973000+00:00,27,12,1229,8,10911,9466,306,100
0,2024-03-01T12:53:59.510000+00:00,27,12,1229,8,10792,9466,305,100
0,2024-02-29T15:02:25.413000+00:00,27,12,1229,8,10745,9466,304,100
0,2024-02-29T15:02:09.412000+00:00,27,12,1229,8,11112,9466,313,100
0,2024-02-29T15:08:00.614000+00:00,27,12,1229,8,11222,9466,315,100
